REGEX,DESTINATION
(www\.)?wutf66\.com(.+)?(.*),http://tv.univision.com/unimas/
(www\.)?wuth47\.com(.+)?(.*),http://tv.univision.com/unimas/
(www\.)?wxft\.tv(.+)?(.*),http://tv.univision.com/unimas/
(www\.)?wxtv\.tv(.+)?(.*),http://tv.univision.com/unimas/
(www\.)?telefuturapr\.com(.+)?(.*),http://tv.univision.com/unimas/
(www\.)?kfsf\.com(.+)?(.*),http://tv.univision.com/telefutura
(www\.)?kfsf66\.com(.+)?(.*),http://tv.univision.com/telefutura
(www\.)?kfsf-tv\.com(.+)?(.*),http://tv.univision.com/telefutura
(www\.)?kfth\.com(.+)?(.*),http://tv.univision.com/telefutura
(www\.)?kfth67\.com(.+)?(.*),http://tv.univision.com/telefutura
(www\.)?kfth-tv\.com(.+)?(.*),http://tv.univision.com/telefutura
(www\.)?kfto\.com(.+)?(.*),http://tv.univision.com/telefutura
(www\.)?kfto67\.com(.+)?(.*),http://tv.univision.com/telefutura
(www\.)?kfto-tv\.com(.+)?(.*),http://tv.univision.com/telefutura
(www\.)?kftr\.com(.+)?(.*),http://tv.univision.com/telefutura
(www\.)?kftr46\.com(.+)?(.*),http://tv.univision.com/telefutura
(www\.)?kftr-tv\.com(.+)?(.*),http://tv.univision.com/telefutura
(www\.)?knic17\.com(.+)?(.*),http://tv.univision.com/telefutura
(www\.)?kstr49\.com(.+)?(.*),http://tv.univision.com/telefutura
(www\.)?kstr-tv\.com(.+)?(.*),http://tv.univision.com/telefutura
(www\.)?losangeles46\.com(.+)?(.*),http://tv.univision.com/telefutura
(www\.)?miami69\.com(.+)?(.*),http://tv.univision.com/telefutura
(www\.)?newyork67\.com(.+)?(.*),http://tv.univision.com/telefutura
(www\.)?newyork68\.com(.+)?(.*),http://tv.univision.com/telefutura
(www\.)?sanantonio17\.com(.+)?(.*),http://tv.univision.com/telefutura
(www\.)?sanantonio45\.com(.+)?(.*),http://tv.univision.com/telefutura
(www\.)?sanantonio67\.com(.+)?(.*),http://tv.univision.com/telefutura
(www\.)?sanfrancisco66\.com(.+)?(.*),http://tv.univision.com/telefutura
(www\.)?telefutura\.com(.+)?(.*),http://tv.univision.com/telefutura
(www\.)?telefuturahouston\.com(.+)?(.*),http://tv.univision.com/telefutura
(www\.)?telefuturalosangeles\.com(.+)?(.*),http://tv.univision.com/telefutura
(www\.)?telefuturamiami\.com(.+)?(.*),http://tv.univision.com/telefutura
(www\.)?telefuturanewyork\.com(.+)?(.*),http://tv.univision.com/telefutura
(www\.)?telefuturasanantonio\.com(.+)?(.*),http://tv.univision.com/telefutura
(www\.)?telefuturasanfrancisco\.com(.+)?(.*),http://tv.univision.com/telefutura
(www\.)?telefuturo\.com(.+)?(.*),http://tv.univision.com/telefutura
(www\.)?wami69\.com(.+)?(.*),http://tv.univision.com/telefutura
(www\.)?wami-tv\.com(.+)?(.*),http://tv.univision.com/telefutura
(www\.)?wfty\.com(.+)?(.*),http://tv.univision.com/telefutura
(www\.)?wfty67\.com(.+)?(.*),http://tv.univision.com/telefutura
(www\.)?wfut68\.com(.+)?(.*),http://tv.univision.com/telefutura
(www\.)?wfut-tv\.com(.+)?(.*),http://tv.univision.com/telefutura
(www\.)?recuerdos983\.com(.+)?(.*),http://recuerdo983.univision.com/
(www\.)?wqba\.com(.+)?(.*),http://wqba.univision.com/
(www\.)?waqi\.com(.+)?(.*),http://radiomambi710.univision.com/
(www\.)?viva1057\.com(.+)?(.*),http://lacallebayarea.univision.com/
(www\.)?nueva1019\.com(.+)?(.*),http://lanueva1019.univision.com/
(www\.)?latremenda\.com(.+)?(.*),http://latremenda1010.univision.com/
(www\.)?univisionchicago\.com(.+)?(.*),http://chicago.univision.com/
(www\.)?wgbo\.com(.+)?(.*),http://chicago.univision.com/
(www\.)?wgbo66\.com(.+)?(.*),http://chicago.univision.com/
(www\.)?wgbo-tv\.com(.+)?(.*),http://chicago.univision.com/
(www\.)?wgbo\.tv(.+)?(.*),http://chicago.univision.com/?cmpid=vnt:wgbo.tv
(www\.)?amor993\.com(.+)?(.*),http://993lasvegas.univision.com/
(www\.)?ktvw\.tv(.+)?(.*),http://univisionarizona.univision.com/?cmpid=vnt:ktvw.tv
(www\.)?kuve52\.com(.+)?(.*),http://univisionarizona.univision.com/?cmpid=vnt:kuve52.com
(www\.)?ktvw\.com(.+)?(.*),http://univisionarizona.univision.com/
(www\.)?univisiontucson\.com(.+)?(.*),http://univisionarizona.univision.com/
(www\.)?ktvw33\.com(.+)?(.*),http://univisionarizona.univision.com/
(www\.)?ktvw-tv\.com(.+)?(.*),http://univisionarizona.univision.com/
(www\.)?univisionphoenix\.com(.+)?(.*),http://univisionarizona.univision.com/
(www\.)?univision23\.com(.+)?(.*),http://miami.univision.com/
(www\.)?hottesthits1079\.com(.+)?(.*),http://gethotindfw.univision.com/
(www\.)?myhot1079\.com(.+)?(.*),http://gethotindfw.univision.com/
(www\.)?hot1079dfw\.com(.+)?(.*),http://gethotindfw.univision.com/
(www\.)?1079hothits\.com(.+)?(.*),http://gethotindfw.univision.com/
(www\.)?hothits1079\.com(.+)?(.*),http://gethotindfw.univision.com/
(www\.)?hotindfw\.com(.+)?(.*),http://gethotindfw.univision.com/
(www\.)?gethotindfw\.com(.+)?(.*),http://gethotindfw.univision.com?cmpid=vnt:gethotindfw.com
(www\.)?ufresno\.com(.+)?(.*),http://univisionfresno.univision.com/
(www\.)?fresno21\.com(.+)?(.*),http://univisionfresno.univision.com/
(www\.)?kftv\.tv(.+)?(.*),http://univisionfresno.univision.com/?cmpid=vnt:kftv.tv
(www\.)?kftv21\.com(.+)?(.*),http://univisionfresno.univision.com/
(www\.)?knic-tv\.com(.+)?(.*),http://univisionfresno.univision.com/
(www\.)?univisionfresno\.com(.+)?(.*),http://univisionfresno.univision.com/
(www\.)?usacramento\.com(.+)?(.*),http://univisionsacramento.univision.com/
(www\.)?univision19\.com(.+)?(.*),http://univisionsacramento.univision.com/
(www\.)?kuvs\.com(.+)?(.*),http://univisionsacramento.univision.com/
(www\.)?kuvs19\.com(.+)?(.*),http://univisionsacramento.univision.com/
(www\.)?kuvs-tv\.com(.+)?(.*),http://univisionsacramento.univision.com/
